NIVEAU;LIBELLE;URL
Facile;Alain Bernard;https://www.lequipe.fr/Natation/NatationFicheAthlete7000000000023763.html
Moyen;Alexander Popov;https://www.lequipe.fr/Natation/NatationFicheAthlete243.html
Difficile;Alexis Vuillermoz;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11140.html
Facile;Andy Murray;https://www.lequipe.fr/Tennis/TennisFicheJoueur3233.html
Difficile;Annemiek Van Vleuten;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11014.html
Moyen;Brahim Asloum;https://www.lequipe.fr/Boxe/AussiFicheAthlete9835.html
Difficile;Brice Guyart;https://www.lequipe.fr/Escrime/AussiFicheAthlete31362.html
Facile;Camille Muffat;https://www.lequipe.fr/Natation/NatationFicheAthlete7000000000024176.html
Facile;Carl Lewis;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete38.html
Facile;Caroline Garcia;https://www.lequipe.fr/Tennis/TennisFicheJoueur4470.html
Difficile;Catherine Fleury;https://www.lequipe.fr/Judo/AussiFicheAthlete12726.html
Facile;David Douillet;https://www.lequipe.fr/Judo/AussiFicheAthlete262.html
Difficile;Dimitri Bascou;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete10969.html
Moyen;Djamel Bouras;https://www.lequipe.fr/Judo/AussiFicheAthlete9882.html
Difficile;Elodie Clouvel;https://www.lequipe.fr/Sport/AussiFicheAthlete37798.html
Difficile;Emilie Andeol;https://www.lequipe.fr/Judo/AussiFicheAthlete31252.html
Difficile;Emilie Fer;https://www.lequipe.fr/Canoe-kayak/AussiFicheAthlete24869.html
Difficile;Emilie Le Pennec;https://www.lequipe.fr/Gymnastique-artistique/AussiFicheAthlete6500000000023789.html
Difficile;Fabien Gilot;https://www.lequipe.fr/Natation/NatationFicheAthlete3500000000024008.html
Facile;Florent Manaudou;https://www.lequipe.fr/Natation/NatationFicheAthlete11000000000024907.html
Moyen;Florian Rousseau;https://www.lequipe.fr/Cyclisme-sur-piste/AussiFicheAthlete14123.html
Moyen;Franck Esposito;https://www.lequipe.fr/Natation/NatationFicheAthlete233.html
Moyen;Hope Solo;https://www.lequipe.fr/Football/FootballFicheJoueur41669.html
Moyen;Ian Thorpe;https://www.lequipe.fr/Natation/NatationFicheAthlete9802.html
Moyen;Inge De Bruijn;https://www.lequipe.fr/Natation/NatationFicheAthlete13961.html
Moyen;Jean Galfione;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete1161.html
Moyen;Julien Absalon;https://www.lequipe.fr/Vtt/AussiFicheAthlete6500000000023823.html
Moyen;Katie Ledecky;https://www.lequipe.fr/Natation/NatationFicheAthlete11000000000028490.html
Difficile;Koji Gushiken;https://www.lequipe.fr/Gymnastique-artistique/AussiFicheAthlete1546.html
Difficile;Krisztina Egerszegi;https://www.lequipe.fr/Natation/NatationFicheAthlete1017.html
Moyen;Laura Flessel;https://www.lequipe.fr/Sport/AussiFicheAthlete6692.html
Facile;Laure Manaudou;https://www.lequipe.fr/Natation/NatationFicheAthlete24376.html
Difficile;Laurent Sciarra;https://www.lequipe.fr/Basket/BasketFicheJoueur175.html
Moyen;Lucie Decosse;https://www.lequipe.fr/Judo/AussiFicheAthlete20751.html
Difficile;Mary Meagher;https://www.lequipe.fr/Natation/NatationFicheAthlete2500000000023766.html
Difficile;Michael Gross;https://www.lequipe.fr/Natation/NatationFicheAthlete5287.html
Facile;Michael Phelps;https://www.lequipe.fr/Natation/NatationFicheAthlete20761.html
Difficile;Michel Jazy;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete8191.html
Facile;Neymar;https://www.lequipe.fr/Football/FootballFicheJoueur39792.html
Facile;Nicolas Batum;https://www.lequipe.fr/Basket/BasketFicheJoueur2927.html
Facile;Novak Djokovic;https://www.lequipe.fr/Tennis/TennisFicheJoueur3153.html
Moyen;Pascal Gentil;https://www.lequipe.fr/Sport/AussiFicheAthlete13991.html
Difficile;Philippe Boisse;https://www.lequipe.fr/Escrime/AussiFicheAthlete6527.html
Difficile;Philippe Riboud;https://www.lequipe.fr/Escrime/AussiFicheAthlete6523.html
Moyen;Pierre Quinon;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete1184.html
Difficile;Pieter Van Den Hoogenband;https://www.lequipe.fr/Natation/NatationFicheAthlete242.html
Facile;Renaud Lavillenie;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete6000000000013400.html
Moyen;Roxana Maracineanu;https://www.lequipe.fr/Natation/NatationFicheAthlete245.html
Moyen;Rudy Gobert;https://www.lequipe.fr/Basket/BasketFicheJoueur5087.html
Moyen;Sebastien Flute;https://www.lequipe.fr/Tir-a-l-arc/AussiFicheAthlete11865.html
Facile;Simone Biles;https://www.lequipe.fr/Gymnastique-artistique/AussiFicheAthlete12500000000052785.html
Difficile;Tatyana Gutsu;https://www.lequipe.fr/Gymnastique-artistique/AussiFicheAthlete1618.html
Facile;Teddy Riner;https://www.lequipe.fr/Judo/AussiFicheAthlete24334.html
Facile;Thiago Silva;https://www.lequipe.fr/Football/FootballFicheJoueur29652.html
Difficile;Thomas Bouhail;https://www.lequipe.fr/Sport/AussiFicheAthlete24956.html
Moyen;Tony Estanguet;https://www.lequipe.fr/Sport/AussiFicheAthlete9858.html
Facile;Tony Parker;https://www.lequipe.fr/Basket/BasketFicheJoueur1131.html
Difficile;Vitaly Scherbo;https://www.lequipe.fr/Gymnastique-artistique/AussiFicheAthlete1105.html
Difficile;Yevgeni Sadovyi;https://www.lequipe.fr/Natation/NatationFicheAthlete5468.html
